zone,total
/venta/pisos-manacor/,332
/venta/pisos-capdepera/,149
/venta/pisos-son_servera/,142
/venta/pisos-arta/,99
/venta/pisos-sant_llorenc_des_cardassar/,25
/venta/pisos-llucmajor/,379
/venta/pisos-santanyi/,145
/venta/pisos-felanitx/,135
/venta/pisos-campos/,121
/venta/pisos-isla_de_mallorca_ses_salines/,70
/venta/pisos-ponent/,729
/venta/pisos-llevant/,721
/venta/pisos-nord/,377
/venta/pisos-palma_de_mallorca_centre/,286
/venta/pisos-platja_de_palma/,197
/venta/pisos-santa_margalida/,90
/venta/pisos-muro/,83
/venta/pisos-sencelles/,42
/venta/pisos-algaida/,41
/venta/pisos-sineu/,40
/venta/pisos-alcudia/,308
/venta/pisos-inca/,213
/venta/pisos-isla_de_mallorca_sa_pobla/,172
/venta/pisos-marratxi/,157
/venta/pisos-binissalem/,67
/venta/pisos-calvia/,479
/venta/pisos-pollenca/,271
/venta/pisos-andratx/,117
/venta/pisos-soller/,35
/venta/pisos-bunyola/,33
