zone,total
/venta/pisos-manacor/,350
/venta/pisos-son_servera/,165
/venta/pisos-capdepera/,162
/venta/pisos-arta/,116
/venta/pisos-sant_llorenc_des_cardassar/,24
/venta/pisos-llucmajor/,396
/venta/pisos-santanyi/,147
/venta/pisos-felanitx/,141
/venta/pisos-campos/,140
/venta/pisos-isla_de_mallorca_ses_salines/,74
/venta/pisos-ponent/,784
/venta/pisos-llevant/,760
/venta/pisos-nord/,396
/venta/pisos-palma_de_mallorca_centre/,318
/venta/pisos-platja_de_palma/,199
/venta/pisos-santa_margalida/,112
/venta/pisos-muro/,92
/venta/pisos-sencelles/,49
/venta/pisos-algaida/,46
/venta/pisos-sineu/,43
/venta/pisos-alcudia/,313
/venta/pisos-inca/,222
/venta/pisos-isla_de_mallorca_sa_pobla/,174
/venta/pisos-marratxi/,166
/venta/pisos-binissalem/,69
/venta/pisos-calvia/,574
/venta/pisos-pollenca/,236
/venta/pisos-andratx/,129
/venta/pisos-bunyola/,44
/venta/pisos-soller/,36
